crime,cod_ibge,municipio,taxa_por_1000,moran_local_Ii,p_valor,cluster,litoranea_turistica
Roubo (art. 157),3525300,Jaú,0.33,0.1084,0.12,Não significativo,0
Roubo (art. 157),3525409,Jeriquara,0,0.0914,0.942,Não significativo,0
Roubo (art. 157),3525508,Joanópolis,0.312,0.005,0.624,Não significativo,0
Roubo (art. 157),3525607,João Ramalho,0,0.2343,0.28,Não significativo,0
Roubo (art. 157),3525706,José Bonifácio,0.328,0.1081,0.102,Não significativo,0
Roubo (art. 157),3525805,Júlio Mesquita,0,0.1558,0.598,Não significativo,0
Roubo (art. 157),3525854,Jumirim,0.654,-0.0025,0.492,Não significativo,0
Roubo (art. 157),3525904,Jundiaí,1.681,0.5048,0.098,Não significativo,0
Roubo (art. 157),3526001,Junqueirópolis,0.098,0.253,0.002,Baixo-Baixo,0
Roubo (art. 157),3526100,Juquiá,0.874,0.08,0.23,Não significativo,0
Roubo (art. 157),3526209,Juquitiba,4.415,7.3757,0.004,Alto-Alto,0
Roubo (art. 157),3526308,Lagoinha,0.197,-0.1934,0.232,Não significativo,0
Roubo (art. 157),3526407,Laranjal Paulista,0.724,0.001,0.642,Não significativo,0
Roubo (art. 157),3526506,Lavínia,0,0.2122,0.248,Não significativo,0
Roubo (art. 157),3526605,Lavrinhas,1.534,0.0214,0.542,Não significativo,0
Roubo (art. 157),3526704,Leme,1.212,0.1512,0.334,Não significativo,0
Roubo (art. 157),3526803,Lençóis Paulista,0.301,0.0991,0.256,Não significativo,0
Roubo (art. 157),3526902,Limeira,1.833,0.2626,0.34,Não significativo,0
Roubo (art. 157),3527009,Lindóia,0.285,0.0647,0.934,Não significativo,0
Roubo (art. 157),3527108,Lins,0.308,0.1051,0.37,Não significativo,0
Roubo (art. 157),3527207,Lorena,1.285,0.145,0.348,Não significativo,0
Roubo (art. 157),3527256,Lourdes,0,0.286,0.028,Baixo-Baixo,0
Roubo (art. 157),3527306,Louveira,1.119,0.1726,0.292,Não significativo,0
Roubo (art. 157),3527405,Lucélia,0.15,0.222,0.002,Baixo-Baixo,0
Roubo (art. 157),3527504,Lucianópolis,0,0.1375,0.624,Não significativo,0
Roubo (art. 157),3527603,Luís Antônio,1.06,-0.0062,0.786,Não significativo,0
Roubo (art. 157),3527702,Luiziânia,0.213,0.1439,0.14,Não significativo,0
Roubo (art. 157),3527801,Lupércio,0,0.269,0.04,Baixo-Baixo,0
Roubo (art. 157),3527900,Lutécia,0.376,0.1095,0.052,Não significativo,0
Roubo (art. 157),3528007,Macatuba,0.238,0.1077,0.494,Não significativo,0
Roubo (art. 157),3528106,Macaubal,0,0.2288,0.112,Não significativo,0
Roubo (art. 157),3528205,Macedônia,0,0.2312,0.11,Não significativo,0
Roubo (art. 157),3528304,Magda,0.316,0.1375,0.03,Baixo-Baixo,0
Roubo (art. 157),3528403,Mairinque,1.279,0.1914,0.342,Não significativo,0
Roubo (art. 157),3528502,Mairiporã,2.429,3.2818,0.004,Alto-Alto,0
Roubo (art. 157),3528601,Manduri,0,0.2358,0.156,Não significativo,0
Roubo (art. 157),3528700,Marabá Paulista,0,0.2748,0.006,Baixo-Baixo,0
Roubo (art. 157),3528809,Maracaí,0.079,0.2329,0.014,Baixo-Baixo,0
Roubo (art. 157),3528858,Marapoama,0,0.2311,0.21,Não significativo,0
