cod_ibge,municipio,populacao,renda,n_roubo,n_furto,n_lesao,taxa_roubo_1000,taxa_furto_1000,taxa_lesao_1000
3529005,Marília,237627,3140.47,87,2916,1019,0.366,12.271,4.288
3529104,Marinópolis,1860,1891.12,0,7,7,0,3.763,3.763
3529203,Martinópolis,24881,2267.92,2,128,127,0.08,5.144,5.104
3529302,Matão,79033,2735.57,45,601,196,0.569,7.604,2.48
3529401,Mauá,418261,2466.2,1699,4366,1235,4.062,10.438,2.953
3529500,Mendonça,6159,2571.32,4,52,46,0.649,8.443,7.469
3529609,Meridiano,4572,2368.51,2,23,18,0.437,5.031,3.937
3529658,Mesópolis,1952,2040.63,0,8,8,0,4.098,4.098
3529708,Miguelópolis,19441,2300.15,21,211,58,1.08,10.853,2.983
3529807,Mineiros do Tietê,11230,2083.34,3,72,36,0.267,6.411,3.206
3529906,Miracatu,18553,1865.34,106,223,84,5.713,12.02,4.528
3530003,Mira Estrela,3126,1926.44,0,23,11,0,7.358,3.519
3530102,Mirandópolis,27983,2638.64,5,148,93,0.179,5.289,3.323
3530201,Mirante do Paranapanema,15917,1910.8,1,146,65,0.063,9.173,4.084
3530300,Mirassol,63337,3266.7,30,510,204,0.474,8.052,3.221
3530409,Mirassolândia,4669,2224.35,0,20,23,0,4.284,4.926
3530508,Mococa,67681,2665.86,41,781,357,0.606,11.539,5.275
3530607,Mogi das Cruzes,451505,3245.15,1008,4694,1826,2.233,10.396,4.044
3530706,Mogi Guaçu,153658,2809.4,200,1606,609,1.302,10.452,3.963
3530805,Mogi Mirim,92558,3277.59,154,1009,343,1.664,10.901,3.706
3530904,Mombuca,3722,2205.25,5,25,23,1.343,6.717,6.179
3531001,Monções,1937,1852.54,0,8,9,0,4.13,4.646
3531100,Mongaguá,61951,2138.21,268,2117,362,4.326,34.172,5.843
3531209,Monte Alegre do Sul,8627,2730.8,0,54,23,0,6.259,2.666
3531308,Monte Alto,47574,2661.29,36,293,134,0.757,6.159,2.817
3531407,Monte Aprazível,22280,2581.69,8,118,96,0.359,5.296,4.309
3531506,Monte Azul Paulista,18151,2714.42,1,86,77,0.055,4.738,4.242
3531605,Monte Castelo,4222,2130.5,0,21,17,0,4.974,4.027
3531704,Monteiro Lobato,4138,2200.04,4,19,9,0.967,4.592,2.175
3531803,Monte Mor,64662,2405.64,83,372,226,1.284,5.753,3.495
3531902,Morro Agudo,27933,2352.06,27,294,125,0.967,10.525,4.475
3532009,Morungaba,13720,2571.35,2,84,42,0.146,6.122,3.061
3532058,Motuca,4034,2315.71,2,19,7,0.496,4.71,1.735
3532108,Murutinga do Sul,3737,2195.83,1,18,16,0.268,4.817,4.282
3532157,Nantes,2660,2356.7,0,14,19,0,5.263,7.143
3532207,Narandiba,5713,2326.93,0,48,46,0,8.402,8.052
3532306,Natividade da Serra,6999,1922.45,3,38,23,0.429,5.429,3.286
3532405,Nazaré Paulista,18217,2115.86,32,153,47,1.757,8.399,2.58
3532504,Neves Paulista,9699,2609.71,1,45,54,0.103,4.64,5.568
3532603,Nhandeara,9852,2397.79,0,39,45,0,3.959,4.568
3532702,Nipoã,4750,2072.98,1,29,31,0.211,6.105,6.526
3532801,Nova Aliança,6693,2347.59,0,22,41,0,3.287,6.126
3532827,Nova Campina,8497,1765.44,4,28,23,0.471,3.295,2.707
3532843,Nova Canaã Paulista,2032,2174.6,1,7,9,0.492,3.445,4.429
